"","Country","ccode","region","deaths10k","deaths_tot","nurses10k","population_tot","vac_tot","vac10k"
"122","Norway","NOR","EURO",9.66928493085485,5152,184.2,5328212,12309228,23101.9861822315
"123","Oman","OMN","EMRO",9.3025275216523,4628,39.38,4974992,7086050,14243.3394867771
"124","Pakistan","PAK","EMRO",1.41481565120605,30640,4.83,216565317,333510412,15399.99186481
"125","Panama","PAN","AMRO",20.2522583622988,8600,32.06,4246440,8756680,20621.2262506947
"126","Papua New Guinea","PNG","WPRO",0.763435409205367,670,4.53,8776119,511846,583.225911134523
"127","Paraguay","PRY","AMRO",28.1675185910875,19843,16.6,7044639,9568675,13582.9174497089
"128","Peru","PER","AMRO",67.4456733343254,219269,29.77,32510462,87438452,26895.4812146318
"129","Philippines","PHL","WPRO",6.10063455367668,65958,54.44,108116622,170244838,15746.4074303024
"130","Poland","POL","EURO",31.2815916819645,118785,68.66,37972812,58053683,15288.2233214648
"131","Portugal","PRT","EURO",25.4003822464144,26103,74.1,10276617,27685253,26940.0455422246
"132","Qatar","QAT","EMRO",2.42225565672612,686,71.97,2832071,7605882,26856.254663107
"133","Republic of Korea","KOR","WPRO",6.59010023577988,33758,81.78,51225321,136127066,26574.1752989698
"134","Republic of Moldova","MDA","EURO",29.5726861852496,11957,46.79,4043258,2278699,5635.79915009134
"135","Romania","ROU","EURO",34.845165391689,67650,73.89,19414458,16104824,8295.27355334875
"136","Russian Federation","RUS","EURO",27.1207150694724,395616,62.31,145872260,184547820,12651.3306916613
"137","Rwanda","RWA","AFRO",1.16259381332196,1468,9.48,12626938,26106436,20675.1914042819
"138","Saint Kitts and Nevis","KNA","AMRO",8.70651474429345,46,42.19,52834,64297,12169.625619866
"139","Saint Lucia","LCA","AMRO",22.3747914330261,409,31.55,182795,122977,6727.59101725977
"140","Saint Vincent and the Grenadines","VCT","AMRO",11.1218612389573,123,70.15,110593,73374,6634.5971264004
"141","San Marino","SMR","EURO",35.4105593126868,122,82.07,34453,69338,20125.3882100253
"142","Sao Tome and Principe","STP","AFRO",3.58059595997173,77,21.49,215048,228291,10615.8160038689
"143","Saudi Arabia","SAU","EMRO",2.7993614782823,9593,58.17,34268529,68148406,19886.586319477
"144","Senegal","SEN","AFRO",1.20947239635447,1971,5.4,16296362,2924037,1794.2881975744
"145","Serbia","SRB","EURO",25.476164901625,17741,60.86,6963764,6719835,9649.71673365151
"146","Seychelles","SYC","AFRO",17.5975281611606,172,229.5,97741,220018,22510.3078544316
"147","Sierra Leone","SLE","AFRO",0.161265406125807,126,7.53,7813207,6553078,8387.18083368327
"148","Singapore","SGP","WPRO",2.96674403976471,1722,62.43,5804343,14875986,25629.060860118
